aogcm,sector,pr_clim,evspsbl_clim,smb_clim,ts_clim,mrro_clim
ccsm4_rcp26,10,1.5014592463558074e-05,2.1740822830906836e-06,1.2463771781767718e-05,251.58152770996094,3.767382281694154e-07
ccsm4_rcp26,11,5.252199116512202e-06,5.493980097526219e-07,4.5936735659779515e-06,237.34432983398438,1.0912776815530378e-07
ccsm4_rcp26,12,2.065215267066378e-05,4.834663286601426e-06,1.5755053027532995e-05,258.3359069824219,6.243656258675401e-08
ccsm4_rcp26,13,2.516779932193458e-05,7.746529263386037e-06,1.729408722894732e-05,261.880126953125,1.2718183484139445e-07
ccsm4_rcp26,14,1.4975760677771177e-05,2.8207759896758944e-06,1.1858340258186217e-05,248.9474639892578,2.966436341012013e-07
ccsm4_rcp26,15,1.8853406800189987e-05,2.6445989078638377e-06,1.610466824786272e-05,258.2866516113281,1.041410442326196e-07
ccsm4_rcp26,16,1.7355308955302462e-05,2.011573769777897e-06,1.5071987036208156e-05,255.15928649902344,2.717464155921334e-07
ccsm4_rcp26,17,2.663441773620434e-05,6.90537035552552e-06,1.9271456039859913e-05,268.6277770996094,4.575910850235232e-07
ccsm4_rcp26,18,2.275577026011888e-05,7.114824143172882e-07,2.132988811354153e-05,254.6921844482422,7.144001301639946e-07
hadgem2-es_rcp85,1,2.8060307158739306e-05,1.163609886134509e-05,1.637654895603191e-05,273.0389099121094,4.766110706100335e-08
hadgem2-es_rcp85,2,9.606125786376651e-06,2.511878165023518e-06,5.795710876554949e-06,251.39321899414062,1.2985366311113467e-06
hadgem2-es_rcp85,3,2.8852515242761e-05,1.2717209756374359e-05,1.6083675291156396e-05,272.0377502441406,5.162797478419634e-08
hadgem2-es_rcp85,4,1.86003562703263e-05,2.0054803826496936e-06,1.5577999874949455e-05,253.14675903320312,1.0168758990403148e-06
hadgem2-es_rcp85,5,8.418192010140046e-06,1.406478645549214e-06,6.115921223681653e-06,247.0469207763672,8.957909471973835e-07
