aogcm,sector,pr_clim,evspsbl_clim,smb_clim,ts_clim,mrro_clim
ccsm4_rcp85,5,1.0159381417906843e-05,5.788970156572759e-07,9.295526979258284e-06,244.81219482421875,2.849574798347021e-07
ccsm4_rcp85,6,2.4597864012321224e-06,9.569622534399969e-07,1.4158091516947025e-06,232.10003662109375,8.701454845549961e-08
ccsm4_rcp85,7,2.2226004148251377e-05,6.337584181892453e-06,1.5694064131821506e-05,257.1474914550781,1.9435670139955619e-07
ccsm4_rcp85,8,1.9414443158893846e-05,5.2082614274695516e-06,1.400711880705785e-05,252.2697296142578,1.9906234172140103e-07
ccsm4_rcp85,9,8.250496648543049e-06,1.9358428744453704e-06,6.206172656675335e-06,239.4140625,1.0848142295571961e-07
ccsm4_rcp85,10,1.5199822883005254e-05,2.1744319838035153e-06,1.2659174899454229e-05,251.55027770996094,3.662164260731515e-07
ccsm4_rcp85,11,5.065252480562776e-06,5.57123712496832e-07,4.400987108965637e-06,237.10655212402344,1.0714120435295627e-07
ccsm4_rcp85,12,2.0492932890192606e-05,4.748208539240295e-06,1.5678822819609195e-05,258.16485595703125,6.590291690145023e-08
ccsm4_rcp85,13,2.5228397134924307e-05,7.662426469323691e-06,1.7431257219868712e-05,261.9880065917969,1.3471216675498e-07
ccsm4_rcp85,14,1.498163601354463e-05,2.8152039703854825e-06,1.187331599794561e-05,248.8582305908203,2.9311757998584653e-07
ccsm4_rcp85,15,1.8737673599389382e-05,2.6481886834517354e-06,1.5988718587323092e-05,258.0,1.0076681888904204e-07
ccsm4_rcp85,16,1.71064257301623e-05,1.9141145912726643e-06,1.4924999049981125e-05,254.89846801757812,2.6731333946372615e-07
ccsm4_rcp85,17,2.665299325599335e-05,6.813621894252719e-06,1.9388991859159432e-05,268.4032287597656,4.503814352574409e-07
ccsm4_rcp85,18,2.2411993995774537e-05,7.220898510240659e-07,2.0985151422792114e-05,254.56954956054688,7.047536314530589e-07
ccsm4_rcp26,1,2.4856384698068723e-05,8.092913958535064e-06,1.667159449425526e-05,265.52630615234375,9.187473182237227e-08
ccsm4_rcp26,2,7.400604317808757e-06,1.3960848264105152e-06,5.833665454701986e-06,247.49119567871094,1.708550598777947e-07
ccsm4_rcp26,3,2.69777410721872e-05,1.0146095519303344e-05,1.6803071048343554e-05,266.8556213378906,2.8571220056505808e-08
ccsm4_rcp26,4,1.5687230188632384e-05,6.229894324860652e-07,1.4636242667620536e-05,246.24269104003906,4.27998628538262e-07
ccsm4_rcp26,5,1.0327136806154158e-05,5.84063002406765e-07,9.462736670684535e-06,244.94161987304688,2.80336678315507e-07
ccsm4_rcp26,6,2.451358341204468e-06,9.74509930529166e-07,1.3897151802666485e-06,232.1722412109375,8.713334409549134e-08
ccsm4_rcp26,7,2.22855233005248e-05,6.323948127828771e-06,1.5782734408276156e-05,257.2622375488281,1.788425549875683e-07
ccsm4_rcp26,8,1.9441005861153826e-05,5.251606580713997e-06,1.4024041774973739e-05,252.43563842773438,1.6535666702566232e-07
ccsm4_rcp26,9,8.143565537466202e-06,1.9149151739839e-06,6.114995358075248e-06,239.53163146972656,1.1365472829538703e-07
