sectors,year,temperature,regions,aogcm
2.0,2057,-0.6343682,1.0,miroc-esm-chem_rcp8.5
2.0,2058,-0.6676203,1.0,miroc-esm-chem_rcp8.5
2.0,2059,-0.6354954,1.0,miroc-esm-chem_rcp8.5
2.0,2060,-0.62498564,1.0,miroc-esm-chem_rcp8.5
2.0,2061,-0.6358071,1.0,miroc-esm-chem_rcp8.5
2.0,2062,-0.6243548,1.0,miroc-esm-chem_rcp8.5
2.0,2063,-0.6227232,1.0,miroc-esm-chem_rcp8.5
2.0,2064,-0.647832,1.0,miroc-esm-chem_rcp8.5
2.0,2065,-0.65174913,1.0,miroc-esm-chem_rcp8.5
2.0,2066,-0.6297802,1.0,miroc-esm-chem_rcp8.5
2.0,2067,-0.57606,1.0,miroc-esm-chem_rcp8.5
2.0,2068,-0.49353617,1.0,miroc-esm-chem_rcp8.5
2.0,2069,-0.46130738,1.0,miroc-esm-chem_rcp8.5
2.0,2070,-0.48575106,1.0,miroc-esm-chem_rcp8.5
2.0,2071,-0.5108933,1.0,miroc-esm-chem_rcp8.5
2.0,2072,-0.5757086,1.0,miroc-esm-chem_rcp8.5
2.0,2073,-0.55115306,1.0,miroc-esm-chem_rcp8.5
2.0,2074,-0.5404337,1.0,miroc-esm-chem_rcp8.5
2.0,2075,-0.48822954,1.0,miroc-esm-chem_rcp8.5
2.0,2076,-0.5078844,1.0,miroc-esm-chem_rcp8.5
2.0,2077,-0.4806687,1.0,miroc-esm-chem_rcp8.5
2.0,2078,-0.4639784,1.0,miroc-esm-chem_rcp8.5
2.0,2079,-0.5058402,1.0,miroc-esm-chem_rcp8.5
2.0,2080,-0.5023529,1.0,miroc-esm-chem_rcp8.5
2.0,2081,-0.4710025,1.0,miroc-esm-chem_rcp8.5
2.0,2082,-0.45777494,1.0,miroc-esm-chem_rcp8.5
2.0,2083,-0.42389446,1.0,miroc-esm-chem_rcp8.5
2.0,2084,-0.3769035,1.0,miroc-esm-chem_rcp8.5
2.0,2085,-0.38622516,1.0,miroc-esm-chem_rcp8.5
2.0,2086,-0.39466438,1.0,miroc-esm-chem_rcp8.5
2.0,2087,-0.3614972,1.0,miroc-esm-chem_rcp8.5
2.0,2088,-0.350804,1.0,miroc-esm-chem_rcp8.5
2.0,2089,-0.3214211,1.0,miroc-esm-chem_rcp8.5
2.0,2090,-0.3423151,1.0,miroc-esm-chem_rcp8.5
2.0,2091,-0.378706,1.0,miroc-esm-chem_rcp8.5
2.0,2092,-0.36775205,1.0,miroc-esm-chem_rcp8.5
2.0,2093,-0.3120424,1.0,miroc-esm-chem_rcp8.5
2.0,2094,-0.26770183,1.0,miroc-esm-chem_rcp8.5
2.0,2095,-0.23944412,1.0,miroc-esm-chem_rcp8.5
2.0,2096,-0.19857557,1.0,miroc-esm-chem_rcp8.5
2.0,2097,-0.19539799,1.0,miroc-esm-chem_rcp8.5
2.0,2098,-0.18617415,1.0,miroc-esm-chem_rcp8.5
2.0,2099,-0.18419152,1.0,miroc-esm-chem_rcp8.5
2.0,2100,-0.16561066,1.0,miroc-esm-chem_rcp8.5
3.0,1995,0.9112773,1.0,miroc-esm-chem_rcp8.5
3.0,1996,0.89518857,1.0,miroc-esm-chem_rcp8.5
3.0,1997,0.8940109,1.0,miroc-esm-chem_rcp8.5
3.0,1998,0.90296614,1.0,miroc-esm-chem_rcp8.5
3.0,1999,0.90731305,1.0,miroc-esm-chem_rcp8.5
3.0,2000,0.9225642,1.0,miroc-esm-chem_rcp8.5
3.0,2001,0.9300927,1.0,miroc-esm-chem_rcp8.5
3.0,2002,0.91497093,1.0,miroc-esm-chem_rcp8.5
3.0,2003,0.8900107,1.0,miroc-esm-chem_rcp8.5
3.0,2004,0.8763772,1.0,miroc-esm-chem_rcp8.5
3.0,2005,0.8914781,1.0,miroc-esm-chem_rcp8.5
3.0,2006,0.9059329,1.0,miroc-esm-chem_rcp8.5
3.0,2007,0.9140868,1.0,miroc-esm-chem_rcp8.5
3.0,2008,0.8848341,1.0,miroc-esm-chem_rcp8.5
3.0,2009,0.8912889,1.0,miroc-esm-chem_rcp8.5
3.0,2010,0.8778763,1.0,miroc-esm-chem_rcp8.5
3.0,2011,0.9189294,1.0,miroc-esm-chem_rcp8.5
3.0,2012,0.9907553,1.0,miroc-esm-chem_rcp8.5
3.0,2013,0.9951276,1.0,miroc-esm-chem_rcp8.5
3.0,2014,0.98764557,1.0,miroc-esm-chem_rcp8.5
3.0,2015,0.9865185,1.0,miroc-esm-chem_rcp8.5
3.0,2016,0.99894977,1.0,miroc-esm-chem_rcp8.5
3.0,2017,0.99627596,1.0,miroc-esm-chem_rcp8.5
3.0,2018,1.0157162,1.0,miroc-esm-chem_rcp8.5
3.0,2019,1.019072,1.0,miroc-esm-chem_rcp8.5
3.0,2020,1.0403197,1.0,miroc-esm-chem_rcp8.5
3.0,2021,1.0191053,1.0,miroc-esm-chem_rcp8.5
3.0,2022,1.0165769,1.0,miroc-esm-chem_rcp8.5
3.0,2023,1.0356191,1.0,miroc-esm-chem_rcp8.5
3.0,2024,1.0160007,1.0,miroc-esm-chem_rcp8.5
3.0,2025,1.023197,1.0,miroc-esm-chem_rcp8.5
3.0,2026,1.0469196,1.0,miroc-esm-chem_rcp8.5
3.0,2027,1.0779989,1.0,miroc-esm-chem_rcp8.5
