sectors,year,pr_anomaly,evspsbl_anomaly,mrro_anomaly,smb_anomaly,ts_anomaly,regions,aogcm
1.0,2093.0,2.9595008e-06,-6.681211e-08,-1.265761e-10,3.0264393e-06,2.0092676,1.0,noresm1-m_rcp8.5
1.0,2094.0,2.4248002e-06,-1.0535931e-06,-5.2898762e-11,3.4784462e-06,2.4763663,1.0,noresm1-m_rcp8.5
1.0,2095.0,4.173516e-06,-6.3597565e-07,-1.1345661e-10,4.8096053e-06,1.8826604,1.0,noresm1-m_rcp8.5
1.0,2096.0,2.436456e-06,-5.330518e-07,1.2936835e-10,2.9693786e-06,1.2839997,1.0,noresm1-m_rcp8.5
1.0,2097.0,2.0729183e-06,-8.102595e-07,3.6921154e-11,2.883141e-06,0.99268854,1.0,noresm1-m_rcp8.5
1.0,2098.0,4.8561424e-06,-1.9704001e-07,-1.1521042e-10,5.0532976e-06,2.4933717,1.0,noresm1-m_rcp8.5
1.0,2099.0,2.9062012e-06,2.6599091e-08,-1.9542122e-10,2.8797974e-06,1.0001369,1.0,noresm1-m_rcp8.5
1.0,2100.0,4.5639263e-07,-5.2597534e-07,-9.212783e-11,9.8246e-07,-0.13080071,1.0,noresm1-m_rcp8.5
2.0,1995.0,-3.6421747e-07,1.4543193e-07,7.8131907e-10,-5.104307e-07,0.30776694,1.0,noresm1-m_rcp8.5
2.0,1996.0,1.734056e-06,-1.4247513e-07,-7.812796e-08,1.954659e-06,-0.005508459,1.0,noresm1-m_rcp8.5
2.0,1997.0,4.9609e-07,-5.4825286e-08,-3.555153e-08,5.8646685e-07,0.261453,1.0,noresm1-m_rcp8.5
2.0,1998.0,-8.3595967e-07,-3.156341e-08,7.859387e-08,-8.829901e-07,-0.71610415,1.0,noresm1-m_rcp8.5
2.0,1999.0,7.5180895e-07,-1.0560306e-07,8.6371124e-08,7.710409e-07,-0.15898308,1.0,noresm1-m_rcp8.5
2.0,2000.0,-4.147211e-07,-1.9621625e-08,-3.4656157e-08,-3.6044332e-07,-0.4689317,1.0,noresm1-m_rcp8.5
2.0,2001.0,-1.4354159e-06,5.6476537e-08,3.5208245e-08,-1.5271006e-06,-0.7306249,1.0,noresm1-m_rcp8.5
2.0,2002.0,-1.2232748e-06,-9.4344074e-08,1.6080555e-10,-1.1290915e-06,-0.7786837,1.0,noresm1-m_rcp8.5
2.0,2003.0,4.1103348e-07,-1.1850542e-07,3.9362202e-09,5.256027e-07,-0.18576135,1.0,noresm1-m_rcp8.5
2.0,2004.0,7.4724977e-07,-3.625439e-08,-1.5874369e-07,9.422478e-07,0.45556,1.0,noresm1-m_rcp8.5
2.0,2005.0,-1.247066e-07,4.5894208e-08,7.716793e-08,-2.4776872e-07,0.20515198,1.0,noresm1-m_rcp8.5
2.0,2006.0,3.2042385e-07,3.4313764e-08,9.915754e-09,2.7619433e-07,0.9437431,1.0,noresm1-m_rcp8.5
2.0,2007.0,-5.3094107e-07,-5.899035e-08,-3.333374e-08,-4.3861695e-07,-0.19652547,1.0,noresm1-m_rcp8.5
2.0,2008.0,4.9659985e-07,9.624091e-08,5.993068e-08,3.404283e-07,0.84466696,1.0,noresm1-m_rcp8.5
2.0,2009.0,1.0260891e-06,-1.6435588e-07,1.1354917e-07,1.0768958e-06,1.4988763,1.0,noresm1-m_rcp8.5
2.0,2010.0,2.7165017e-06,-9.642924e-08,1.6095898e-07,2.651972e-06,1.1126609,1.0,noresm1-m_rcp8.5
2.0,2011.0,-8.6477877e-07,4.1633882e-08,-4.6743796e-08,-8.5966883e-07,-0.29695085,1.0,noresm1-m_rcp8.5
2.0,2012.0,-2.5282404e-06,1.5870174e-07,-1.0442655e-07,-2.5825154e-06,-0.9967817,1.0,noresm1-m_rcp8.5
2.0,2013.0,8.3380934e-07,6.5112474e-08,-1.3389871e-08,7.820867e-07,0.22658032,1.0,noresm1-m_rcp8.5
2.0,2014.0,-1.2114062e-06,2.7916235e-07,-1.216008e-07,-1.3689678e-06,-1.3215976,1.0,noresm1-m_rcp8.5
2.0,2015.0,1.766996e-07,-8.196688e-08,1.2458345e-08,2.4620815e-07,-0.080581136,1.0,noresm1-m_rcp8.5
2.0,2016.0,-1.4049211e-06,1.1908959e-07,-9.512312e-08,-1.4288876e-06,-0.54801315,1.0,noresm1-m_rcp8.5
2.0,2017.0,-1.0316469e-06,1.2796556e-07,-7.8399445e-08,-1.081213e-06,-0.11709395,1.0,noresm1-m_rcp8.5
2.0,2018.0,-4.880629e-07,8.866901e-08,-2.6062867e-08,-5.5066903e-07,0.10459895,1.0,noresm1-m_rcp8.5
2.0,2019.0,-1.7262605e-06,1.3240232e-07,-9.7597784e-08,-1.761065e-06,-0.7776172,1.0,noresm1-m_rcp8.5
2.0,2020.0,-1.4097845e-06,-1.5052883e-08,-6.047013e-08,-1.3342615e-06,-0.5638456,1.0,noresm1-m_rcp8.5
2.0,2021.0,-1.1262545e-06,9.494732e-08,-4.503607e-08,-1.1761656e-06,-0.79147226,1.0,noresm1-m_rcp8.5
2.0,2022.0,-6.1392876e-07,6.5893765e-08,1.703401e-08,-6.9685655e-07,-0.14091575,1.0,noresm1-m_rcp8.5
2.0,2023.0,-2.846501e-07,2.5940182e-07,1.6782187e-09,-5.4573013e-07,0.46713725,1.0,noresm1-m_rcp8.5
2.0,2024.0,-2.7012786e-06,2.859374e-07,-1.0259146e-07,-2.8846246e-06,-0.6126743,1.0,noresm1-m_rcp8.5
2.0,2025.0,-2.1665796e-06,1.2639271e-09,-8.884771e-08,-2.0789957e-06,-1.8608663,1.0,noresm1-m_rcp8.5
2.0,2026.0,-3.9785468e-07,-8.139593e-08,6.581531e-08,-3.8227407e-07,0.1764075,1.0,noresm1-m_rcp8.5
2.0,2027.0,-8.2085626e-07,1.3560754e-07,-7.711652e-08,-8.793473e-07,-0.6937126,1.0,noresm1-m_rcp8.5
2.0,2028.0,-2.9131227e-06,1.8315075e-07,-1.5457539e-07,-2.941698e-06,-1.2697071,1.0,noresm1-m_rcp8.5
